edit_history_tweet_ids,author_id,text,public_metrics,id
['1610727747600670721'],1290510034858729474,Pump Mаnipulаtor is the best place for crypto traders @Spzmk @Furi_noob_234 @H0llowBr4in @hseyinm28505785 @TigerWoods2315 @dennischris_ @GuruOfWarrior @MMoonboi589 @bennyben1 @DukeAndrs @PedroCoppini @iamahmad4410 @noodlemanKD @youngasianpewpi @max_eth1 https://t.co/9BQG6b5qyp,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 12}",1610727747600670721
['1610727746455601157'],1456698803990396992,"RT @BonkMonkeys: #Bonk airdrop for everyone. Drop your $SOL addy $BONK to everyone who
Follow, Like, RT, Comment wallet below. 👇 https://t.…","{'retweet_count': 299, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727746455601157
['1610727746350497794'],265631921,"@dallas214solja @Bitboy_Crypto @OilCrypto @GaryGensler @SECGov Whoa, whoa, whoa! This is mind-blowing.","{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727746350497794
['1610727745520275457'],998328574783389698,I mаdе x3 from my investment by following their instruction in Telegrаm!  @fmrgmm @KevinDS27085510 @bryism24 @Jabrix_lanang @HalilAtasever9 @yalcinkaya_ @crypto_fais @Espressopete1 @dropbong99 @tott_ii @berube_berube7 @J4m3s0n1 @Jajorp92 @NinoBrownQNT @kuei76 https://t.co/ghgdr8zssW,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 6}",1610727745520275457
['1610727745406787584'],1404832314346115072,@XEN__crypto_34 @XEN_Crypto @mrJackLevin Hen flight https://t.co/FlKHGlXvNK,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 24}",1610727745406787584
['1610727745285128192'],895707587835985920,"RT @goatkripto: 1 takipçimden iban isteyelim. Bu gönderiyi RT'lemeniz ve beni takip ediyor olmanız yeterli. 🐐

#bitcoin    #crypto #çekiliş…","{'retweet_count': 170, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727745285128192
['1610727745272643584'],1545003312365596672,@CryptoInsightsX @RichQuack @BabyDogeCoin @Lovely_finance @VoltInuOfficial @BscPitbull @_hamster_coin @rottoken @Tamadogecoin @VitaInuCoin @InuKishu @shiba_forest @Marvin_Inu @MicroPetsBSC @AKITA_network @Puli_Token @FlokiMooni @MiloInu @KibaInuWorld $QUACK #Crypto #NFT #NFTs,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 4}",1610727745272643584
['1610727745138327552'],310723474,@dallas214solja @Bitboy_Crypto @OilCrypto @GaryGensler @SECGov I'm not new to this. I invested 10 eth into this and it's already up 17 BNB in two weeks.,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727745138327552
['1610727745108967435'],1553859420920184832,"RT @SorareConcours: 🎁 FAST CONCOURS 🎁

JOUEUR À GAGNER : IEBE SWERS

Conditions pour participer : 

- Follow @SorareConcours et @toutPolyva…","{'retweet_count': 338, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727745108967435
['1610727744845017089'],865224346481995777,"RT @XPunkDS: 🚨 NEW YEAR, NEW AIRDROP OF #XSPECTAR TOKEN INCOMING! 🚨

TO ENTER:

👉 Follow @CombatKanga &amp; @xspectar 

👉 RETWEET &amp; tag friends…","{'retweet_count': 147, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727744845017089
['1610727744828243968'],321229869,"@rkvchat @Bitboy_Crypto @OilCrypto @GaryGensler @SECGov Whoa, whoa, whoa!","{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",1610727744828243968
